measure label,year,state,county,fips,value,numerator,denominator
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Rutherford County,37161,0.23765032,8063,33928
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Surry County,37171,0.126588315,4244,33526
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Union County,37179,0.038160481,2969,77803
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Wake County,37183,0.067946628,27958,411470
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Wayne County,37191,0.09675543,5156,53289
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Wilkes County,37193,,,33017
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Carolina,Wilson County,37195,0.093617141,3347,35752
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Dakota,Burleigh County,38015,,,41261
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Dakota,Cass County,38017,,,78234
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Dakota,Grand Forks County,38035,0.076247789,2458,32237
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, North Dakota,Ward County,38101,0.138974205,4525,32560
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Allen County,39003,0.099459842,4456,44802
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Ashtabula County,39007,0.181897551,8334,45817
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Athens County,39009,0.123998471,3250,26210
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Belmont County,39013,0.129693151,4159,32068
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Butler County,39017,0.091999494,13791,149903
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Clark County,39023,0.109403893,6686,61113
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Clermont County,39025,0.077506654,6375,82251
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Columbiana County,39029,0.095172681,4434,46589
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Cuyahoga County,39035,0.135139689,83542,618190
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Delaware County,39041,0.058729351,4145,70578
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Erie County,39043,0.175168529,6600,37678
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Fairfield County,39045,0.078786768,4725,59972
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Franklin County,39049,0.089896008,48998,545052
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Geauga County,39055,,,36838
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Greene County,39057,0.045019835,3121,69325
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Hamilton County,39061,0.107504137,40607,377725
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Hancock County,39063,,,33306
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Jefferson County,39081,0.155669823,5056,32479
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Lake County,39085,,,102054
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Licking County,39089,0.07280951,5103,70087
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Lorain County,39093,0.074410081,9621,129297
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Lucas County,39095,0.128645003,26051,202503
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Mahoning County,39099,0.122119918,13595,111325
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Marion County,39101,0.123439915,3432,27803
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Medina County,39103,0.059601624,4240,71139
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Miami County,39109,0.079653211,3528,44292
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Montgomery County,39113,0.119780608,30465,254340
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Muskingum County,39119,0.086725898,3270,37705
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Portage County,39133,0.072773121,4964,68212
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Richland County,39139,0.132296503,7171,54204
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, Ohio,Ross County,39141,0.107905515,3426,31750
