measure label,year,state,county,fips,perc_vacant_housing_1y2013,numerator,denominator
perc_vacant_housing_1y,2013, Texas,Lubbock County,48303,0.107952826,12833,118876
perc_vacant_housing_1y,2013, Texas,McLennan County,48309,0.086752787,8368,96458
perc_vacant_housing_1y,2013, Texas,Midland County,48329,0.046274327,2594,56057
perc_vacant_housing_1y,2013, Texas,Montgomery County,48339,0.0903989,17026,188343
perc_vacant_housing_1y,2013, Texas,Nacogdoches County,48347,0.182093099,5058,27777
perc_vacant_housing_1y,2013, Texas,Nueces County,48355,0.106498562,15272,143401
perc_vacant_housing_1y,2013, Texas,Orange County,48361,0.100880258,3610,35785
perc_vacant_housing_1y,2013, Texas,Parker County,48367,,,47149
perc_vacant_housing_1y,2013, Texas,Potter County,48375,0.10800676,5242,48534
perc_vacant_housing_1y,2013, Texas,Randall County,48381,0.068800576,3639,52892
perc_vacant_housing_1y,2013, Texas,Rockwall County,48397,0.063634537,1900,29858
perc_vacant_housing_1y,2013, Texas,San Patricio County,48409,0.142707556,3816,26740
perc_vacant_housing_1y,2013, Texas,Smith County,48423,0.095957235,8419,87737
perc_vacant_housing_1y,2013, Texas,Tarrant County,48439,0.0772826,56468,730669
