year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2013,Camden,MISSOURI,13,4,13,43458.0,,0.160751715,,0.086133204,100.0,0.003,0.664,0.06,2.0,9.5,2.35,0.36,1.95,0.084307179
2013,Washington,VIRGINIA,14,4,13,41897.0,,0.121017076,,0.070999436,148.0,0.008,0.577,0.04,1.0,9.4,1.96,0.31,1.4,0.008338297
2014,Barnstable,MASSACHUSETTS,9,6,7,61597.0,0.077041246,0.097028993,0.057634246,0.079030447,120.0,0.008,0.348,0.11,1.0,7.4,0.92,0.38,0.75,0.013609851
2012,Hardin,KENTUCKY,16,7,7,49257.0,0.144564971,0.14816846,0.098567896,0.077819966,136.0,0.134,0.473,0.22,1.0,10.4,2.25,0.55,1.65,0.032653061
2012,Butts,GEORGIA,14,4,12,50722.0,,0.130566701,,0.133417934,128.0,0.001,0.587,0.02,1.0,10.5,3.19,0.41,2.41,0.104457751
2012,Ector,TEXAS,13,5,7,50851.0,0.125586078,0.15796575,0.047170077,0.056590259,52.0,0.001,0.0,0.54,1.0,7.6,2.46,0.49,1.97,-0.066750104
2014,Lamar,TEXAS,16,6,11,41130.0,,0.189250231,,0.075456955,95.0,0.083,0.242,0.33,2.0,9.5,2.82,0.4,2.23,0.008083141
2013,Morgan,WEST VIRGINIA,12,4,10,36046.0,,0.152936429,,0.16113919,133.0,0.011,0.805,0.12,2.0,9.8,1.68,0.39,1.24,-0.207361327
2012,Natrona,WYOMING,12,4,10,55786.0,0.128404364,0.092855215,0.047203902,0.055234898,90.0,0.001,0.031,0.41,1.0,6.4,1.1,0.39,0.69,0.019931271
2013,Stanton,KANSAS,9,3,7,46382.0,,0.039722864,,0.062050361,65.0,0.673,0.001,0.08,2.0,6.9,1.58,0.13,1.11,-0.616772469
2012,Iowa,IOWA,7,4,4,57318.0,,0.098711371,,0.036847267,103.0,0.55,0.055,0.19,2.0,10.0,1.6,0.28,1.09,-0.091767174
2012,Kay,OKLAHOMA,11,5,9,41026.0,,0.176490068,,0.081354059,71.0,0.476,0.025,0.62,2.0,9.1,2.42,0.45,1.87,0.121726479
2013,Emmons,NORTH DAKOTA,9,3,6,38477.0,,0.149292514,,0.049161363,100.0,0.252,0.002,0.0,2.0,7.0,0.89,0.16,0.63,-0.207225631
2013,Union,KENTUCKY,18,3,9,39125.0,,0.257031351,,0.087863468,122.0,0.606,0.164,0.09,2.0,10.4,2.17,0.32,1.55,-0.055555556
2013,Delaware,OHIO,10,4,8,89757.0,0.064643092,0.048975907,0.030980011,0.044017497,126.0,0.479,0.189,0.4,1.0,11.9,1.8,0.8,1.25,-0.189518264
2014,Crawford,ARKANSAS,12,3,11,40712.0,,0.188310847,,0.084931016,95.0,0.034,0.577,0.07,1.0,10.0,3.12,0.43,2.51,-0.087185489
2013,Forest,WISCONSIN,10,3,9,39963.0,,0.164852262,,0.092869394,138.0,0.027,0.621,0.0,2.0,7.4,1.05,0.24,0.69,-0.108717949
2014,McClain,OKLAHOMA,14,4,10,55741.0,,0.106995307,,0.03743501,80.0,0.166,0.163,0.03,1.0,9.7,2.55,0.41,2.03,-0.109651628
2014,Conecuh,ALABAMA,19,4,7,24433.0,,0.329207927,,0.266911924,132.0,0.034,0.671,0.02,2.0,9.1,3.36,0.28,2.54,-0.096259352
2013,Iowa,WISCONSIN,8,3,9,55659.0,,0.097805239,,0.053662565,107.0,0.388,0.289,0.13,1.0,9.7,1.4,0.33,1.0,0.056563501
2014,Broadwater,MONTANA,9,3,8,48211.0,,0.099521868,,0.045070421,114.0,0.052,0.269,0.26,2.0,5.8,1.01,0.23,0.63,-0.279871977
2012,Beaufort,NORTH CAROLINA,9,4,8,40147.0,,0.206165418,,0.126236945,155.0,0.253,0.316,0.04,2.0,8.6,2.05,0.34,1.43,0.197818182
2014,Fairfax,VIRGINIA,6,5,3,112102.0,0.06579233,0.059809837,0.051019605,0.05052669,131.0,0.055,0.369,0.82,1.0,8.8,2.42,0.95,2.11,0.021428571
2013,Charles Mix,SOUTH DAKOTA,11,4,6,40102.0,,0.23626931,,0.070238099,83.0,0.416,0.022,0.33,2.0,8.0,1.15,0.15,0.8,0.408224674
2013,Nuckolls,NEBRASKA,11,4,7,37594.0,,0.111009382,,0.035230353,76.0,0.547,0.027,0.42,2.0,8.5,1.58,0.24,1.06,0.211347518
2013,Coamo,PUERTO RICO,5,5,2,17645.0,,0.513030589,,0.133504391,,,,,,,,,,6.016129032
2012,Telfair,GEORGIA,18,4,9,24469.0,,0.341263473,,0.029072253,132.0,0.089,0.505,0.07,2.0,9.5,3.26,0.27,2.43,-0.20303712
2014,Monroe,ARKANSAS,11,4,9,27571.0,,0.302436501,,0.127145588,100.0,0.545,0.029,0.03,2.0,10.4,2.84,0.28,2.12,-0.026381284
2013,Harper,KANSAS,15,3,7,38313.0,,0.165307894,,0.061655696,72.0,0.562,0.016,0.42,2.0,8.7,2.1,0.25,1.53,-0.1485623
2014,Roane,WEST VIRGINIA,14,6,13,30104.0,,0.244740829,,0.115879826,168.0,0.008,0.845,0.0,2.0,9.7,1.97,0.39,1.49,-0.314067612
2012,Muscatine,IOWA,10,3,6,51675.0,,0.151170835,,0.071725845,104.0,0.571,0.075,0.44,2.0,11.5,1.78,0.55,1.18,0.0496
2012,Putnam,OHIO,11,3,5,60693.0,,0.074625552,,0.050875686,134.0,0.868,0.032,0.09,2.0,11.3,1.57,0.47,1.05,0.188257817
2014,Haskell,TEXAS,15,5,6,42645.0,,0.212067261,,0.060694851,77.0,0.495,0.021,0.0,2.0,7.2,2.35,0.17,1.72,-0.205633803
2014,Harlan,KENTUCKY,26,3,17,25186.0,,0.320754051,,0.098543465,162.0,0.0,0.864,0.03,2.0,9.3,2.0,0.27,1.44,0.054303871
2014,Roberts,SOUTH DAKOTA,12,3,5,48441.0,,0.212721482,,0.082705192,93.0,0.483,0.018,0.21,2.0,8.6,0.9,0.23,0.65,0.13748191
